pair_ID	genre	verb	sentence1	sentence2	gold_label	avg_score	freq_label	crowd_score	crowd_label
507	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a laughing man was dyeing a shirt black on the table which you could not sit at	A laughing man was dyeing a shirt black on the table which you could not sit at	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
507	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a laughing man was dyeing a shirt black on the table which you could not sit at	A man wearing a dyed black shirt was sitting at the table and laughing	neutral	3.33	neutral	[5, 3, 2]	['entailment', 'neutral', 'neutral']
1573	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a man was playing the guitar	A man was playing the guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
1573	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a man was playing the guitar	A person was listening to a trumpet playing	neutral	1.67	neutral	[3, 1, 1]	['neutral', 'neutral', 'neutral']
2779	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that a person was pouring olive oil into a pot on the stove	A person was pouring olive oil into a pot on the stove	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
2779	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that a person was pouring olive oil into a pot on the stove	A person was pouring cooking oil into a pot	entailment	4.33	entailment	[5, 4, 4]	['entailment', 'entailment', 'entailment']
3047	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that a man was jumping off a low wall	A man was jumping off a low wall	entailment	4.33	entailment	[5, 4, 4]	['entailment', 'entailment', 'entailment']
3047	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that a man was jumping off a low wall	A man was jumping a wall	entailment	4	entailment	[4, 4, 4]	['entailment', 'entailment', 'entailment']
3188	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was putting away a carrot	A woman was putting away a carrot	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3188	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was putting away a carrot	A woman was slicing a carrot	neutral	2.33	neutral	[1, 1, 5]	['neutral', 'neutral', 'entailment']
3856	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that the man was walking along a path through the wilderness	The man was walking along a path through the wilderness	entailment	4.33	entailment	[5, 3, 5]	['entailment', 'neutral', 'entailment']
3856	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that the man was walking along a path through the wilderness	The man was walking along a track through the wilderness	entailment	4	entailment	[4, 5, 3]	['entailment', 'entailment', 'neutral']
3940	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that the boy was checking a calendar	The boy was checking a calendar	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
3940	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that the boy was checking a calendar	A boy was looking at a calendar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
4523	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a man was playing a guitar	A man was playing a guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
4523	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a man was playing a guitar	A flute was being played by a man	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
5864	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that two women were dancing and singing in front of many people	Two women were dancing and singing in front of many people	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
5864	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that two women were dancing and singing in front of many people	The women were singing and dancing	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6546	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that a child, who looked young, was standing in front of some trees	A child, who looked young, was standing in front of some trees	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6546	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that a child, who looked young, was standing in front of some trees	A young child was standing in front of some trees	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6997	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that an opponent was tackling a soccer player	An opponent was tackling a soccer player	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6997	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that an opponent was tackling a soccer player	A soccer player was being tackled by his opponent	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
7890	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that two white cats were playing with a brown dog and a ball	Two white cats were playing with a brown dog and a ball	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
7890	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that two white cats were playing with a brown dog and a ball	Two white dogs were playing with a brown dog and a ball	neutral	2.33	neutral	[1, 1, 5]	['neutral', 'neutral', 'entailment']
7971	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that the white dogs were looking curiously at the black llama	The white dogs were looking curiously at the black llama	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
